layer_idx,layer_name,frac_2bit,frac_4bit,frac_8bit,modal_bit,mean_bits
0,Conv1,0.0,0.0,1.0,8,8.0
1,expanded_conv_depthwise,0.0,0.0,1.0,8,8.0
2,expanded_conv_project,0.0,0.1,0.9,8,7.6
3,block_1_expand,0.0,0.6,0.4,4,5.6
4,block_1_depthwise,0.0,0.6,0.4,4,5.6
5,block_1_project,0.0,0.5,0.5,4,6.0
6,block_2_expand,0.0,0.3,0.7,8,6.8
7,block_2_depthwise,0.0,0.3,0.7,8,6.8
8,block_2_project,0.0,0.4,0.6,8,6.4
9,block_3_expand,0.0,0.9,0.1,4,4.4
10,block_3_depthwise,0.1,0.6,0.3,4,5.0
11,block_3_project,0.0,0.7,0.3,4,5.2
12,block_4_expand,0.1,0.7,0.2,4,4.6
13,block_4_depthwise,0.0,0.6,0.4,4,5.6
14,block_4_project,0.0,0.6,0.4,4,5.6
15,block_5_expand,0.0,0.3,0.7,8,6.8
16,block_5_depthwise,0.0,0.5,0.5,4,6.0
17,block_5_project,0.0,0.5,0.5,4,6.0
18,block_6_expand,0.1,0.4,0.5,8,5.8
19,block_6_depthwise,0.0,0.5,0.5,4,6.0
20,block_6_project,0.0,0.4,0.6,8,6.4
21,block_7_expand,0.2,0.5,0.3,4,4.8
22,block_7_depthwise,0.1,0.6,0.3,4,5.0
23,block_7_project,0.1,0.3,0.6,8,6.2
24,block_8_expand,0.3,0.3,0.4,8,5.0
25,block_8_depthwise,0.2,0.4,0.4,4,5.2
26,block_8_project,0.1,0.4,0.5,8,5.8
27,block_9_expand,0.2,0.7,0.1,4,4.0
28,block_9_depthwise,0.0,0.4,0.6,8,6.4
29,block_9_project,0.1,0.5,0.4,4,5.4
30,block_10_expand,0.3,0.2,0.5,8,5.4
31,block_10_depthwise,0.1,0.7,0.2,4,4.6
32,block_10_project,0.2,0.2,0.6,8,6.0
33,block_11_expand,0.6,0.3,0.1,2,3.2
34,block_11_depthwise,0.2,0.5,0.3,4,4.8
35,block_11_project,0.7,0.3,0.0,2,2.6
36,block_12_expand,0.5,0.5,0.0,2,3.0
37,block_12_depthwise,0.1,0.4,0.5,8,5.8
38,block_12_project,0.8,0.2,0.0,2,2.4
39,block_13_expand,0.4,0.3,0.3,2,4.4
40,block_13_depthwise,0.2,0.4,0.4,4,5.2
41,block_13_project,0.1,0.4,0.5,8,5.8
42,block_14_expand,0.2,0.7,0.1,4,4.0
43,block_14_depthwise,0.2,0.5,0.3,4,4.8
44,block_14_project,0.0,0.7,0.3,4,5.2
45,block_15_expand,0.3,0.7,0.0,4,3.4
46,block_15_depthwise,0.1,0.3,0.6,8,6.2
47,block_15_project,0.5,0.3,0.2,2,3.8
48,block_16_expand,0.2,0.6,0.2,4,4.4
49,block_16_depthwise,0.2,0.0,0.8,8,6.8
50,block_16_project,0.2,0.6,0.2,4,4.4
51,Conv_1,0.5,0.3,0.2,2,3.8
52,dense,0.3,0.5,0.2,4,4.2
